"prompt","response"
"狼人杀游戏中，如何进行炸身份的操作？这种操作有什么风险和收益？","狼人杀
这款游戏拥有众多的高阶玩法，炸身份是其中一个高阶玩法之一。无论场上任何一位玩家都可以炸别的玩家的身份，这样可以快速地让游戏走上正常节奏，唯一需要注意的就是炸身份的方法。
狼人杀炸身份虽然算的上是一个相对比较高阶的玩法，但一般只局限于面杀。网杀的话，由于不能看到对方表情变化，等你炸他身份轮到他发言的时候早就准备好一套针对你的话了，当然除非对方是个新手，可能会露出一些情况给你，不然网杀是很难炸出对方身份的。
﻿
对于狼人杀这款充满玄机的游戏，走任何一步都要计较收益，如果没有收益你炸他干嘛？对于面杀来说，炸身份是收益和风险并存的操作，如果你顺利炸刀一条狼，那么你的操作是有收益的；但一不小心炸到了强神，比如女巫，你了能晚上就要被毒死了；还有如果炸到真预言家，那么你自己的身份就会被做低，让你自己成为场上的焦点牌，那么你离被投票出局也不远了。
如果在自己没有任何把握的时候，随意跳不明身份炸他人身份，容易被场上玩家合起来针对，吃毒吃枪在也是有可能的。所以小编在这里建议新手，为了自己整场的游戏体验，最好不要乱用炸身份去打扰别的玩家的正常思考。
一个好人并不需要每次发言点4狼，而是应该尽自己所能把自己的身份聊干净，让大家相信你是好人，不会被狼人随意推出成为焦点，这样的狼人就会少了一个可以抗推的选择。"
"在狼人杀游戏中，什么是做高和做低？","身份、底牌：在游戏中所扮演的角色
好人：属于村民阵营的玩家
阵营：狼人属于狼人阵营，其他玩家则属于村民阵营
身份偏好、身份作好：较大概率是好人
身份偏差、身份不作好：较大概率是狼人
身份高：被其他玩家普遍认为身份作好
身份低：被其他玩家普遍认为身份不作好
操作：具有一定技巧性的行为
做高、拉高、做好：使得别人认为某个人身份作好
做低、拉低、做坏：使得别人认为某个人身份不作好
做身份：通过一系列操作让别人认为某个人身份作好
脏(身份)：通过一系列操作来污蔑某个人,让别人认为他身份不作好
垫飞：一位玩家通过自己的发言和行为拉低了场上另外一位玩家的身份
脏套路：一些“无耻”的打法
诈身份：通过一系列操作试图谁骗出其他玩家的身份信息
积身份、藏身份：试图隐藏自己的身份
拍身份、认身份、跳明身份、裸跳：直接说清楚自己的身份
暗跳：暗示自己是某个身份
向某人低头：认可某人的身份比自己高
坐实、坐定：确定了某人是某个身份
认识：知道对方的身份，一般指狼人间互相知道身份
悍跳：一般指狼人比较强势地声称自己为某张特殊身份牌，从而达到混淆好人视听的目的(较多见的为假认预言家)
悍跳狼：声称自己是预言家的狼人
民跳：除了预言家之外的其他好人声称自己是预言家
对跳：有两名或两名以上玩家声称自己是同一特殊身份牌的情况,称之为对跳
滴滴代跳：其他好人和真预言家默契配合,代替真预言家进行起跳
验、查、摸：预言家在晚上发动技能查看某位玩家的身份是否为狼人
顺验：依次去验
首验：预言家第一晚的验人
吃验：被验"
"在狼人杀游戏中，什么是爆刀，拍刃，一刀一神，蛇形刀，西瓜刀，被闷刀，自刃，被自刀，自刀狼，银水狼，刀口位，自刀骗药，夹杀，夹刀位，靠刀位，跳刀位，金刚狼，站边，软站边，死站边，站对边，站错边，配置绑架，煽动，传销，支撑，冲锋狼，煽动狼，倒钩狼，阴阳倒钩，旋风倒钩等术语的含义？","爆刀：狼人自爆刀人
拍刃：杀人游戏术语，在狼刀在先的情况下，狼人可以直接拍刀指认之后每一个夜晚的击杀对象，默认女巫会毒中狼人，猎人会带走狼人，如果按照这个顺序下刀能够成功屠边则狼人获胜，否则好人获胜
一刀一神：狼人每一刀都能准确地击杀一张神牌，形容狼人刀法准
蛇形刀：狼人一会儿刀神一会儿刀民
西瓜刀：形容狼人刀法差
被闷刀、被抿杀：神牌在跳明身份之前就被狼人找到并击杀
自刃：指狼人玩家晚上出于某些战术目的，选择击杀自己的行
被自刀：本来不准备自刀的狼人被狼队友刀了
自刀狼：自刀的狼人
银水狼：自刀后被女巫用解药救活了的狼人
刀口位：被刀了的位置
自刀骗药：狼人在女巫还有解药的情况下自刀，希望女巫开药解救并骗取到女巫的信任
夹杀：狼队选择去击杀两张狼人牌之间的一张好人牌
夹刀位：两张狼人牌之间的位置
靠刀位：一张狼人牌旁边的位置
跳刀位：一张狼人牌旁边跳开一个人的位置
金刚狼：一个身份非常作好，完全没有人怀疑的狼人
站边：通常指游戏里有两个人对跳时，选择相信其中一方的行为
软站边：暂时站边某一个预言家但是依旧保持一定程度的怀疑
死站边、铁站边：完全站边某一个预言家
站对边：站边了真预言家
站错边：站边了悍跳狼
配置绑架：默认高配玩家不会站错边，站错边就将其定义为狼人
煽动：给出某一个观点来游说其他玩家，一般主语为狼人
传销：非常强有力的煽动
支撑：支持
冲锋狼、煽动狼：站边悍跳狼，帮助悍跳狼攻击真预言家的狼人牌
倒钩狼：站边真预言家的狼人牌
阴阳倒钩：倒钩狼站边真预言家并故意去脏真预言家
旋风倒钩：冲锋狼装作是阴阳倒钩来为悍跳狼冲锋，让好人们误以为这是倒钩狼在脏真预言家"
"这些狼人杀黑话中，“334”和“暗牌局”分别是什么意思？","334：一般指三狼三神四民的十人局，三神分别为预言家、女巫和猎人
明牌局：出局后的玩家都必须翻牌的一种游戏规则，比较罕见
暗牌局：常见的出局后不翻牌的游戏规则
屠城局：狼人需要击杀所有好人才能获胜的一种游戏规则，比较罕见
屠边局、刀边局：常见的狼人击杀完所有民牌或者所有神牌即可获胜的游戏规则
神边：所有神牌的集合
民边：所有民牌的集合
刀神局、屠神局：狼人在屠边局中选择以刀神的方式来获胜
刀民局、屠民局：狼人在屠边局中选择以刀民的方式来获胜
娱乐局：以娱乐主要目的的对局，追求娱乐，不太重视输赢
竞技局：以竞技为主要目的的对局，追求高水平博弈，重视输赢
顺风局：局面优势
逆风局：局面劣势
崩盘局、交牌局：局面巨大劣势
天胡开局：巨大优势开局，比如狼人首刀女巫、女巫盲毒猎人
天崩开局：巨大劣势开局，比如悍跳狼自刀不但没有被救还不被信任
交牌：认输
DQ出局：Directly Quit（直接出局），指的是犯规出局
复盘：在游戏结束后对本局游戏进行分析和反思
场外：进行游戏规则允许范围之外的信息获取和信息传递
贴脸：试图通过游戏之外的因素为游戏之内的因素作担保并以此为已方阵营获取不正当的利益
村规：一个地方约定俗成的游戏规则
牌坊：刻意建立起来的个人游戏形象，比如从来不悍跳、从来不自刀等等
背锅：承担已方阵营游戏失利的责任
甩锅：把游戏失利的责任丢给别人
分锅大会：在复盘中失利的一方反思错误，分析问题
翻车：发生严重失误
天秀：打得非常好
演员表：每位玩家对应的身份信息
配置、阶位、段位：游戏水平"
"请解释狼人杀游戏中的黑话和术语？","狼配：狼队的配置
升阶：水平提高
低配、中配、高配、顶配：对玩家游戏水平的一种划分
0~5阶：对玩家游戏水平的一种划分
十阶大神：对弹幕大神的戏称
高端局：玩家水平普遍较高的对局
低端局：玩家水平普遍较低的对局
新手局、萌新局：主要由刚接触游戏的新玩家所组成的对局
生推局：没有预言家和验人信息的对局
新手光环：一般指场上玩家对新手起跳的预言家非常信任
鱼塘、水族馆、海底两万里：对玩家水平普遍很低的对局的戏称
尊重底牌：尊重游戏并认真玩，努力为已方阵营去争取胜利
法官、上帝：游戏主持人
上帝视角：知道场上所有玩家身份的视角
普通视角：不知道场上任何玩家身份的视角
打格式：一般指狼队准备进行复杂的多人配合操作
递话：在发言中悄悄传递信息，对场上的某个（些）玩家进行暗示
聊爆：1.在发言中暴露了自己的身份，一般指狼人；2.通过发言逼迫了某张狼人牌自爆
爆狼：在发言中暴露了自己是狼人
爆水：在发言中暴露了自己是平民（有时泛指好人）
爆神：打得非常好
认出：同意放逐自己出局
心路历程：在游戏过程中的所思所想和心理变化过程
焦点牌：被大家重点关注的玩家
外置位：焦点牌之外的位置
逻辑流：以分析逻辑重的一种打法风格
状态流：以分析状态重的一种打法风格
人性流：以分析人性重的一种打法风格
位置学：一种结合位置进行分析的方法
抿人、算命、看面相：通过观察表情、反应等状态上的东西来判断玩家的身份"
"在狼人杀游戏中，什么是""颜杀""和""颜保""？""表情起飞""是什么意思？""历史数据库""又是指什么？","挂相：因为表情而一定程度上暴露了身份
颜杀：通过抿人判断某人是狼人
颜保：通过抿人判断某人是好人
听杀牌：杀人游戏术语，听出来的杀手牌
表情管理：通过管理表情来防止被别人抿出身份
表情起飞：管理不住自己的表情，泄露了自己的身份信息
形象平衡：通过对操作和状态的管理来平衡自己的个人游戏形象
状态基线：正常情况下的状态
历史数据库：某位玩家过去游戏风格、打法习惯等信息的集合
人狼统一：好人和狼人状态达到统一
神民统一：神牌和民牌状态达到统一
操作空间：合理操作的集合
对立面：敌对阵营
控场：掌控局势
掌控雷电：对局势形成了强有力的控制
划水：在发言过程中没有说出有价值的内容
过：发言结束时的申明
表水：玩家发言的时候，把自己的逻辑和行为原因表达清楚，尽力说清自己的身份去洗脱嫌疑的行为
聊干净：通过发言向其他玩家解释清楚自己的身份和行为
带队：带领大家理清局势
心态：心理状态
倒牌：出局
丟水包：玩家在自己发言时，向自己怀疑的对象施加压力的一种行为，通常是在没听到他们发言的时候给出，目的是为了制造矛盾、引出话题
给压力看弹性：通过发言和操作对其他玩家施加压力，通过来观察对方的反应来判断对方的身份
弹性：受压条件下的反应
吃信息：掌握信息，一般指狼人拥有了好人不应该掌握的信息量
装晕：一般指狼人假装自己看不清局势
拿得起、作得成：有可能
排水：通过排除法缩小狼人的生存空间
拉PK：建议场上玩家从某两位（或多位）玩家里选择放逐对象"
"在“狼人杀”游戏的语境中，怎样理解“身份、底牌”的含义？","在游戏中所扮演的角色"
"在“狼人杀”游戏的语境中，”好人“的意义具体是什么？","属于村民阵营的玩家"
"在“狼人杀”游戏的语境中，“阵营”代表什么意思？","狼人属于狼人阵营，其他玩家则属于村民阵营"
"在“狼人杀”游戏的语境中，关于“身份偏好、身份作好”，它的含义是怎样的？","较大概率是好人"
"在“狼人杀”游戏的语境中，”身份偏差、身份不作好“的定义是什么？","较大概率是狼人"
"在“狼人杀”游戏的语境中，”身份高“的意义具体是什么？","被其他玩家普遍认为身份作好"
"在“狼人杀”游戏的语境中，玩家发言中的“身份低”包含的含义是什么？","被其他玩家普遍认为身份不作好"
"在“狼人杀”游戏的语境中，什么是“操作”的含义？","具有一定技巧性的行为"
"在“狼人杀”游戏的语境中，关于“做高、拉高、做好”，它的含义是怎样的？","使得别人认为某个人身份作好"
"在“狼人杀”游戏的语境中，怎样理解“做低、拉低、做坏”的含义？","使得别人认为某个人身份不作好"
"在“狼人杀”游戏的语境中，“做身份”代表什么意思？","通过一系列操作让别人认为某个人身份作好"
"在“狼人杀”游戏的语境中，什么是“脏(身份)”的含义？","通过一系列操作来污蔑某个人,让别人认为他身份不作好"
"在“狼人杀”游戏的语境中，什么是“垫飞”的含义？","一位玩家通过自己的发言和行为拉低了场上另外一位玩家的身份"
"在“狼人杀”游戏的语境中，关于“脏套路”，它的含义是怎样的？","一些“无耻”的打法"
"在“狼人杀”游戏的语境中，“诈身份”代表什么意思？","通过一系列操作试图谁骗出其他玩家的身份信息"
"在“狼人杀”游戏的语境中，“积身份、藏身份”代表什么意思？","试图隐藏自己的身份"
"在“狼人杀”游戏的语境中，”拍身份、认身份、跳明身份、裸跳“的意义具体是什么？","直接说清楚自己的身份"
"在“狼人杀”游戏的语境中，”暗跳“的定义是什么？","暗示自己是某个身份"
"在“狼人杀”游戏的语境中，关于“向某人低头”，它的含义是怎样的？","认可某人的身份比自己高"
"在“狼人杀”游戏的语境中，怎样理解“坐实、坐定”的含义？","确定了某人是某个身份"
"在“狼人杀”游戏的语境中，”认识“的意义具体是什么？","知道对方的身份，一般指狼人间互相知道身份"
"在“狼人杀”游戏的语境中，”悍跳“的意义具体是什么？","一般指狼人比较强势地声称自己为某张特殊身份牌，从而达到混淆好人视听的目的(较多见的为假认预言家)"
"在“狼人杀”游戏的语境中，怎样理解“悍跳狼”的含义？","声称自己是预言家的狼人"
"在“狼人杀”游戏的语境中，“民跳”代表什么意思？","除了预言家之外的其他好人声称自己是预言家"
"在“狼人杀”游戏的语境中，”对跳“的意义具体是什么？","有两名或两名以上玩家声称自己是同一特殊身份牌的情况,称之为对跳"
"在“狼人杀”游戏的语境中，什么是“滴滴代跳”的含义？","其他好人和真预言家默契配合,代替真预言家进行起跳"
"在“狼人杀”游戏的语境中，什么是“验、查、摸”的含义？","预言家在晚上发动技能查看某位玩家的身份是否为狼人"
"在“狼人杀”游戏的语境中，“顺验”代表什么意思？","依次去验"
"在“狼人杀”游戏的语境中，怎样理解“首验”的含义？","预言家第一晚的验人"
"在“狼人杀”游戏的语境中，”吃验“的定义是什么？","被验"
"在“狼人杀”游戏的语境中，关于“验一推一”，它的含义是怎样的？","在两个人之中必出一狼的情况下,预言家验其中一人,验出查杀就直接出掉,验出金水则出另外那个人"
"在“狼人杀”游戏的语境中，怎样理解“发金水”的含义？","自称自己是预言家的玩家,表示经过自己的查验,另一名玩家的身份是好人"
"在“狼人杀”游戏的语境中，”发查杀“的意义具体是什么？","自称自己是预言家的玩家,表示经过自己的查验,另一名玩家的身份是狼人"
"在“狼人杀”游戏的语境中，关于“金水牌”，它的含义是怎样的？","一般指被预言家验过的好人"
"在“狼人杀”游戏的语境中，”接金水、喝金水“的定义是什么？","表示被发金水的玩家认可发自己金水的预言家是真预言家"
"在“狼人杀”游戏的语境中，什么是“端金水”的含义？","表示被发金水的玩家不确定发自己金水的预言家是否是真预言家"
"在“狼人杀”游戏的语境中，”反水“的定义是什么？","一般指自称预言家的玩家A声称验了另一名玩家B为金水,但是B不认可A的预言家身份并反对A,这种行为叫做反水"
"在“狼人杀”游戏的语境中，“反水立警”代表什么意思？","表示被发金水的玩家不认为发自己金水的玩家是真预言家,并且声称自己才是真预言家"
"在“狼人杀”游戏的语境中，怎样理解“查杀牌”的含义？","般指被预言家验到的狼人"
"在“狼人杀”游戏的语境中，玩家发言中的“双金水”包含的含义是什么？","被两位跳预言家的玩家都发了金水的玩家"
"在“狼人杀”游戏的语境中，”双查杀“的意义具体是什么？","被两位跳预言家的玩家都发了查杀的玩家"
"在“狼人杀”游戏的语境中，“银水”代表什么意思？","女巫用解药救起的晚上被狼人击杀的玩家"
"在“狼人杀”游戏的语境中，怎样理解“铜水”的含义？","守卫守护了狼人晚上选择击杀的玩家,这个被守护的人被称为铜水"
"在“狼人杀”游戏的语境中，”金银花露水“的定义是什么？","金水加银水"
"在“狼人杀”游戏的语境中，”狼金水、洗脚水“的意义具体是什么？","悍跳狼所发的金水"
"在“狼人杀”游戏的语境中，玩家发言中的“锁龙局”包含的含义是什么？","预言家跳开一个位置隔位验出了一个金水,然后与自己的金水一起共同向中间的玩家施压来抿他的身份"
"在“狼人杀”游戏的语境中，”铁“的意义具体是什么？","绝对的"
"在“狼人杀”游戏的语境中，怎样理解“铁好人、明好人”的含义？","绝对的好人"
"在“狼人杀”游戏的语境中，关于“铁狼、明狼”，它的含义是怎样的？","绝对的狼人"
"在“狼人杀”游戏的语境中，关于“标狼、定匪”，它的含义是怎样的？","定义某人是狼人"
"在“狼人杀”游戏的语境中，怎样理解“X身份、X”的含义？","未知身份"
"在“狼人杀”游戏的语境中，怎样理解“预言家面”的含义？","是真预言家的概率"
"在“狼人杀”游戏的语境中，“好人面”代表什么意思？","是好人的概率"
"在“狼人杀”游戏的语境中，怎样理解“狼面”的含义？","是狼人的概率"
"在“狼人杀”游戏的语境中，玩家发言中的“摸牌”包含的含义是什么？","拿牌、看牌"
"在“狼人杀”游戏的语境中，”摸狼“的意义具体是什么？","拿到一张狼人牌"
"在“狼人杀”游戏的语境中，关于“狼队”，它的含义是怎样的？","狼人阵营"
"在“狼人杀”游戏的语境中，怎样理解“狼牌”的含义？","狼人"
"在“狼人杀”游戏的语境中，”民牌、平民“的定义是什么？","一般指平民，有时也包括老流岷等带有一定特珠能力但是暑边时被归为民边的村民"
"在“狼人杀”游戏的语境中，”蛋牌、四字强神、平民“的定义是什么？","普通村民"
"在“狼人杀”游戏的语境中，关于“神牌、神民”，它的含义是怎样的？","除了民牌之外的带有特殊能力的好人"
"在“狼人杀”游戏的语境中，”坑“的意义具体是什么？","位置"
"在“狼人杀”游戏的语境中，怎样理解“狼坑”的含义？","狼牌所在的位置"
"在“狼人杀”游戏的语境中，“民坑”代表什么意思？","民牌所在的位置"
"在“狼人杀”游戏的语境中，”填狼坑“的定义是什么？","倒钩狼站边真预言家把自己伪装成是真预言家的团队"
"在“狼人杀”游戏的语境中，关于“神坑”，它的含义是怎样的？","神牌所在的位置"
"在“狼人杀”游戏的语境中，”坑位牌“的意义具体是什么？","大概率出狼的位置"
"在“狼人杀”游戏的语境中，什么是“民坑爆炸”的含义？","有大于四位玩家表示自己是平民"
"在“狼人杀”游戏的语境中，什么是“民及民以上”的含义？","民牌或神牌"
"在“狼人杀”游戏的语境中，”民及民以下“的意义具体是什么？","民牌或狼牌"
"在“狼人杀”游戏的语境中，玩家发言中的“非神即狼、挂身份、吃身份”包含的含义是什么？","神牌或狼牌"
"在“狼人杀”游戏的语境中，“闭眼玩家”代表什么意思？","晚上不睁眼的玩家，一般指平民，偶尔也包括猎人、白痴等没有信息获取能力的神牌"
"在“狼人杀”游戏的语境中，“睁眼玩家”代表什么意思？","晚上睁眼的玩家，一般指狼人或者部分有信息获取能力的神牌"
"在“狼人杀”游戏的语境中，什么是“强神”的含义？","一般指女巫、猎人等有自证能力和攻击能力的神牌"
"在“狼人杀”游戏的语境中，玩家发言中的“弱神”包含的含义是什么？","一般指预言家、白痴等没有自证能力和攻击能力的神牌"
"在“狼人杀”游戏的语境中，关于“信息神”，它的含义是怎样的？","一般指预言家、九尾狐等有信息获取能力的神牌"
"在“狼人杀”游戏的语境中，“轮次神”代表什么意思？","一般指女巫、守卫等有抢轮次能力的神牌"
"在“狼人杀”游戏的语境中，玩家发言中的“踩钢板”包含的含义是什么？","一般指查杀到了女巫或者猎人，偶尔指查杀到了白痴或者把金水给了真预言家"
"在“狼人杀”游戏的语境中，玩家发言中的“枪牌”包含的含义是什么？","猎人"
"在“狼人杀”游戏的语境中，“自证身份”代表什么意思？","自己证实自己的身份"
"在“狼人杀”游戏的语境中，什么是“翻牌自证”的含义？","猎人被放逐或被狼人击杀之后可以翻开身份牌证明自己的身份、白痴被放逐之后可以翻开身份牌证明自己的身份"
"在“狼人杀”游戏的语境中，怎样理解“底牌压制”的含义？","一般指底牌是强神，所以底气十足"
"在“狼人杀”游戏的语境中，”认“的意义具体是什么？","认可、承认、认为、声称"
"在“狼人杀”游戏的语境中，”认神“的意义具体是什么？","声称自己是神牌"
"在“狼人杀”游戏的语境中，什么是“认狼”的含义？","承认自己是狼人"
"在“狼人杀”游戏的语境中，”认民“的定义是什么？","声称自己是平民"
"在“狼人杀”游戏的语境中，“认出”代表什么意思？","同意在白天放逐自己"
"在“狼人杀”游戏的语境中，”衣服“的定义是什么？","身份"
"在“狼人杀”游戏的语境中，”穿衣服“的意义具体是什么？","认某个身份，一般指认神"
"在“狼人杀”游戏的语境中，关于“脱衣服、退水”，它的含义是怎样的？","不再继续承认自己是某个身份"
"在“狼人杀”游戏的语境中，“捡衣服”代表什么意思？","认一个已经出局了的玩家的身份"
"在“狼人杀”游戏的语境中，”互穿衣服“的定义是什么？","两个人互相认对方的身份"
"在“狼人杀”游戏的语境中，”白天“的定义是什么？","游戏中的一个环节，主要包括发言和投票"
"在“狼人杀”游戏的语境中，玩家发言中的“晚上、夜里”包含的含义是什么？","游戏中的一个环节，狼人和部分神牌将在此环节行动"
"在“狼人杀”游戏的语境中，关于“平安夜”，它的含义是怎样的？","没有玩家死亡的夜晚"
"在“狼人杀”游戏的语境中，”单死“的意义具体是什么？","夜里一位玩家出局"
"在“狼人杀”游戏的语境中，怎样理解“双死”的含义？","夜里两位玩家出局"
"在“狼人杀”游戏的语境中，怎样理解“多死”的含义？","夜里多位玩家出局"
"在“狼人杀”游戏的语境中，玩家发言中的“平安日”包含的含义是什么？","在放逐投票环节多次平票后当天没有玩家被放逐"
"在“狼人杀”游戏的语境中，”前、高“的意义具体是什么？","在按顺序发言的过程中较先发言"
"在“狼人杀”游戏的语境中，怎样理解“后、低”的含义？","在按顺序发言的过程中较后发言"
"在“狼人杀”游戏的语境中，玩家发言中的“前置位”包含的含义是什么？","相对靠先发言的位置"
"在“狼人杀”游戏的语境中，什么是“中置位”的含义？","处于中间发言的位置"
"在“狼人杀”游戏的语境中，玩家发言中的“后置位”包含的含义是什么？","相对靠后发言的位置"
"在“狼人杀”游戏的语境中，”末置位“的意义具体是什么？","最后几个发言的位置"
"在“狼人杀”游戏的语境中，关于“归票位、沉底位”，它的含义是怎样的？","最后一个发言的位置"
"在“狼人杀”游戏的语境中，怎样理解“黄金划水位”的含义？","第一个发言的位置"
"在“狼人杀”游戏的语境中，”警长“的定义是什么？","通过警长竞选选举出的一位玩冢，他在游戏中具有某些特权"
"在“狼人杀”游戏的语境中，“警长竞选”代表什么意思？","由参与竞选玩家进行发言，未参与竞选的玩家投票选出警长"
"在“狼人杀”游戏的语境中，关于“警徽”，它的含义是怎样的？","警长权力的象征物"
"在“狼人杀”游戏的语境中，“上警”代表什么意思？","全体玩家将在第一次天亮后投票选举出警长。选择上瞥的玩家，成为警长候选人并发表竞选发言。警长一旦被选出，当选玩家不可再拒绝该身份"
"在“狼人杀”游戏的语境中，”警上玩家“的意义具体是什么？","参与警长竞选的人"
"在“狼人杀”游戏的语境中，玩家发言中的“警下玩家”包含的含义是什么？","没参与警长竞选的人"
"在“狼人杀”游戏的语境中，”警前“的定义是什么？","警上发言的前置位"
"在“狼人杀”游戏的语境中，“警后”代表什么意思？","警上发言的后置位"
"在“狼人杀”游戏的语境中，“黄金悍跳位”代表什么意思？","警上最后一个发言的位置"
"在“狼人杀”游戏的语境中，怎样理解“退水”的含义？","玩家在竞选警长时，主动宣布退出本次警长竞选。退水玩家在本次警长竞选时失去投票权"
"在“狼人杀”游戏的语境中，关于“博力度”，它的含义是怎样的？","一般指悍跳狼往警后发金水或者往警下发查杀来增加自己的可信度"
"在“狼人杀”游戏的语境中，”力度“的意义具体是什么？","可信度"
"在“狼人杀”游戏的语境中，怎样理解“警徽流”的含义？","指有警徽的预言家针对之后的查验工作做出安排，并提前布置在自己死后警徽的流向"
"在“狼人杀”游戏的语境中，玩家发言中的“第一警徽流”包含的含义是什么？","预言家下一个晚上要去验的对象"
"在“狼人杀”游戏的语境中，玩家发言中的“第二警徽流”包含的含义是什么？","预言家再下一个晚上要去验的对象"
"在“狼人杀”游戏的语境中，“备验”代表什么意思？","特殊情况下的替补验人对象"
"在“狼人杀”游戏的语境中，”飞警徽“的定义是什么？","警长出局后移交警徽给另外的玩家"
"在“狼人杀”游戏的语境中，关于“撕警徽”，它的含义是怎样的？","警长出局后选择不移交警徽在放逐公投中放逐警长"
"在“狼人杀”游戏的语境中，”警徽票“的定义是什么？","警下玩家在警长竞选环节中所投的票警长在放逐公投中进行的投票，1票算作1.5票"
"在“狼人杀”游戏的语境中，“原地起跳”代表什么意思？","被预言家查杀的狼人在接到查杀之后直接悍跳预"
"在“狼人杀”游戏的语境中，”狼警“的意义具体是什么？","担任警长的狼人"
"在“狼人杀”游戏的语境中，”吞警徽“的意义具体是什么？","警上发言阶段，如有狼人自爆就会打断警长竞选，使得本局将没有警徽，这种行为被称吞警微"
"在“狼人杀”游戏的语境中，”钓鱼执法“的意义具体是什么？","神牌分辨出了悍跳狼之后警上假装站边悍跳狼，诱骗警下的狼人为悍跳狼冲票从而找狼，到了警下神牌拍出身份站回真预言家的边并开始清算被诱骗了的狼人"
"在“狼人杀”游戏的语境中，”警左发言“的定义是什么？","从警长的左手边开始第一个发言"
"在“狼人杀”游戏的语境中，”警右发言“的定义是什么？","从警长的右手边开始第一个发言"
"在“狼人杀”游戏的语境中，关于“死左发言”，它的含义是怎样的？","从前一晚出局玩家的左手边开始第一个发言"
"在“狼人杀”游戏的语境中，关于“死右发言”，它的含义是怎样的？","从前一晚出局玩家的右手边开始第一个发言"
"在“狼人杀”游戏的语境中，”随机顺序发言“的意义具体是什么？","从随机位置随机方向开始发言"
"在“狼人杀”游戏的语境中，“推、出、票、出在台面上”代表什么意思？","通过放逐投票让某位玩家在白天出局"
"在“狼人杀”游戏的语境中，“出人、抗推、扔、飞、下、出”代表什么意思？","投票放逐某一位玩家"
"在“狼人杀”游戏的语境中，”顺出“的定义是什么？","依次放逐"
"在“狼人杀”游戏的语境中，”完美抗推位“的意义具体是什么？","非常适合狼队去攻击并放逐在白天的好人"
"在“狼人杀”游戏的语境中，“票、上票、出票”代表什么意思？","投票"
"在“狼人杀”游戏的语境中，“内推”代表什么意思？","杀人游戏术语，被定为是需要重点怀疑的玩家"
"在“狼人杀”游戏的语境中，关于“号票”，它的含义是怎样的？","号召大家投票给某人"
"在“狼人杀”游戏的语境中，关于“冲票”，它的含义是怎样的？","多个人一起组团投票给某位玩象，更金指的是撤人"
"在“狼人杀”游戏的语境中，”对冲“的意义具体是什么？","两边各有一个团队对着冲票"
"在“狼人杀”游戏的语境中，“倒冲”代表什么意思？","狼人帮着好人一起冲票狼人"
"在“狼人杀”游戏的语境中，什么是“绑票”的含义？","场上狼人的总票数大于等于好人的总票数"
"在“狼人杀”游戏的语境中，怎样理解“归票”的含义？","号召大家一起投票给某人，常见于末置位归票"
"在“狼人杀”游戏的语境中，”变票“的定义是什么？","改变投票对象"
"在“狼人杀”游戏的语境中，玩家发言中的“异常票、异型票”包含的含义是什么？","不正常的投票"
"在“狼人杀”游戏的语境中，玩家发言中的“分票”包含的含义是什么？","不跟着归票走"
"在“狼人杀”游戏的语境中，”弃票、压手“的意义具体是什么？","不投票"
"在“狼人杀”游戏的语境中，”掰票“的意义具体是什么？","为即将被放逐的玩家作辩解"
"在“狼人杀”游戏的语境中，关于“票型”，它的含义是怎样的？","投票结果"
"在“狼人杀”游戏的语境中，关于“平票”，它的含义是怎样的？","两个或者多个人得票数一样"
"在“狼人杀”游戏的语境中，“平票PK”代表什么意思？","得票数相同的玩家依次进行PK发言之后再进行一次投票"
"在“狼人杀”游戏的语境中，“验票、看票、查票、示票”代表什么意思？","要求再看一遍票型"
"在“狼人杀”游戏的语境中，什么是“跟票无效”的含义？","某位玩家没有在第一时间投票，则他的投票作废"
"在“狼人杀”游戏的语境中，“团队”代表什么意思？","目标相同的群体，比如悍跳狼身边的狼团队，由站边真预言家的玩家所组成的预言家团队"
"在“狼人杀”游戏的语境中，“拉开队形”代表什么意思？","根据站边、投票来区分团队"
"在“狼人杀”游戏的语境中，什么是“团队干净”的含义？","这个团队里的玩家身份相对作好"
"在“狼人杀”游戏的语境中，什么是“团队不干净”的含义？","这个团队里的玩家身份相对不作好"
"在“狼人杀”游戏的语境中，“言行不一”代表什么意思？","一个人的投票与他先前的发言相矛盾"
"在“狼人杀”游戏的语境中，什么是“自爆”的含义？","身份为狼人的玩家，主动翻牌向所有玩家表明自己的狼人身份，立即终止当前白天发言让游戏直接进人夜晚"
"在“狼人杀”游戏的语境中，“自爆狼”代表什么意思？","在白天翻牌自爆的狼人"
"在“狼人杀”游戏的语境中，怎样理解“刀、落刀、下刀”的含义？","（狼人）击杀"
"在“狼人杀”游戏的语境中，”选刃“的定义是什么？","选择击杀对象"
"在“狼人杀”游戏的语境中，什么是“空刃”的含义？","狼人选择不刀人"
"在“狼人杀”游戏的语境中，”首刃“的定义是什么？","第一夜里狼人所击杀的目标"
"在“狼人杀”游戏的语境中，关于“首刀保护”，它的含义是怎样的？","为了保护被首刀玩家的游戏体验，在本局游戏中狼人第一晚不能去刀在上一局游戏中被首刀而死的玩家（正式比赛中无此限制）"
"在“狼人杀”游戏的语境中，什么是“刀法”的含义？","狼人刀人的目标、顺序和思路"
"在“狼人杀”游戏的语境中，”指刀、点刃“的定义是什么？","选择击杀对象，指导刀法"
